split,P,n_tail,RMSE,MAE,Recall,Precision,CSI,FAR
val,P95,9626288,2.1190222442330118,1.6180494146418867,0.6971485789745746,0.7297208545372678,0.5540775555489138,0.2702791454627323
val,P99,2544948,2.604587080403951,1.916011569327544,0.6426029136941108,0.6952530881412654,0.5013797676790686,0.30474691185873454
val,17ms,160269,5.362019059171101,4.472182074923008,0.1590513449263426,0.5775295663600526,0.1424746808558206,0.42247043363994746
test,P95,20089244,2.2084377043684147,1.7217147773211259,0.6502115261281112,0.7360612215929342,0.5272749606297432,0.2639387784070658
test,P99,4729282,2.751294217637085,2.0796277359517257,0.559226960879051,0.651277132525047,0.4303615959592508,0.34872286747495296
test,17ms,179133,5.915089967608038,4.968702253058329,0.17782876410265,0.45597034153044574,0.1467025881919499,0.5440296584695543
