split,P,n_tail,RMSE,MAE,Recall,Precision,CSI,FAR
val,P95,9665239,2.060430489501921,1.4652089328035354,0.7137385842191797,0.8503995616378914,0.6341190204802,0.14960043836210854
val,P99,2557930,2.56952444068478,1.8098672877323925,0.6246124796221945,0.8265408320891623,0.5522255583640285,0.17345916791083768
test,P95,20172738,2.1314933898597754,1.5293190792312408,0.6792487960731954,0.8343799689005285,0.5985481580184037,0.16562003109947154
test,P99,4757100,2.640716326050171,1.8576240551290533,0.5595005360408652,0.7936969441057357,0.48846367932293383,0.2063030558942644
