split,P,n_tail,RMSE,MAE,Recall,Precision,CSI,FAR
val,P95,9597731,2.3997713445581965,1.82900615863376,0.6499254875970164,0.739296700962798,0.5287438864774845,0.2607032990372021
val,P99,2567712,3.0068316854420583,2.219827251263121,0.5826880117396344,0.7026882195136613,0.46744469192093235,0.2973117804863386
val,17ms,160269,6.553562100834863,5.782834245179913,0.034847662367644396,0.4038614505748789,0.03314284357883368,0.5961385494251211
test,P95,20025980,2.42279215282689,1.8912837866677592,0.6153555032013415,0.7379785392044494,0.5050173900342817,0.26202146079555055
test,P99,4777571,3.0162109645065103,2.283823137402649,0.5100617029030023,0.6497972496779487,0.40008182706840734,0.3502027503220513
test,17ms,179133,6.788859987481667,5.954073517432731,0.07105893386478203,0.4137493905411994,0.06455883024207659,0.5862506094588006
