split,thr,n,RMSE,MAE,Rec,Pre,CSI,FAR
val,P95,9527053,2.0648180698281773,1.467687095996691,0.7129796590824046,0.8502434597571661,0.6334332637848724,0.14975654024283389
val,P99,2562546,2.568552716217022,1.8090910644469054,0.6248305396273862,0.8265896222324095,0.5524177897657819,0.17341037776759055
val,17ms,160269,5.428099612829732,4.841838493185554,0.0,0.0,0.0,0.0
test,P95,19870165,2.1362210399203327,1.5320594743632052,0.6781035285816701,0.8341171504306676,0.5975238247367147,0.16588284956933239
test,P99,4766658,2.6398999569375277,1.857030311458882,0.5596957029432361,0.7937257100049416,0.48862332872831793,0.2062742899950583
test,17ms,179133,5.561702082361425,4.7793012675674795,0.0,0.0,0.0,0.0
