split,P,n_tail,RMSE,MAE,Recall,Precision,CSI,FAR
val,P95,9570215,2.256186891626167,1.7205347121618022,0.6763390373152536,0.7490332316949334,0.551388696272333,0.2509667683050666
val,P99,2592258,2.710043215136667,2.0000142828272187,0.6374508247250081,0.6969446720818837,0.49910595464411256,0.3030553279181163
val,17ms,160269,5.466760507174372,4.577243848256942,0.14777031116435493,0.515430486637068,0.1297456912136917,0.484569513362932
test,P95,19966362,2.3283098094698,1.8108022520773002,0.6378361766655337,0.7531773984351154,0.5275627400158005,0.2468226015648846
test,P99,4830988,2.789491630429164,2.1052100790077826,0.5606387347681261,0.6504681987497088,0.43084246113700747,0.3495318012502912
test,17ms,179133,5.938994087100765,4.9918262956437,0.17351353463627583,0.4268801845849585,0.14072977366059503,0.5731198154150414
