split,P,n_tail,RMSE,MAE,Recall,Precision,CSI,FAR
val,P95,9541360,2.6154639444051853,1.988416597827118,0.7383315376424325,0.6153223379793908,0.505160321848391,0.3846776620206092
val,P99,2534252,3.1191905365854886,2.393350452346445,0.5806861353961642,0.49819322627428836,0.36638706386182507,0.5018067737257116
val,17ms,160269,4.222423641554252,3.3425723964633396,0.51810393775465,0.4633446794263713,0.32379905086120503,0.5366553205736287
test,P95,19901912,2.7605076973235017,2.0840318046599227,0.6931286300532331,0.6243895384561069,0.48916548304798235,0.37561046154389316
test,P99,4706131,3.2863557790087796,2.4892503575646487,0.514961865702421,0.45928945277254346,0.32059835692346605,0.5407105472274566
test,17ms,179133,4.695045785430162,3.5892638271501918,0.49474971110850596,0.3805275157468989,0.27403605330694786,0.6194724842531011
